Partlist exported from /home/denis/BACKUP/Home/Audio/DIY v2/PCB/Projects/Programmable PSU/Old versions/Arduino shield/EEZ Arduino shield+BP r1B13.sch at 27. 03. 2016. 14:21

Assembly variant: 

Qty Value                Device                  Parts                                                                                                                                     
1                        ARDUINO_MEGA+ICSPMIRROR MCU                                                                                                                                       
1                        PCB_TEST_TABSHIELD      TP1                                                                                                                                       
1   0R-JUMPA             0R-JUMPA                JP4                                                                                                                                       
2   1K                   R-EU_R0805              R42, R43                                                                                                                                  
5   1K5                  R-EU_R0805              R5, R29, R32, R37, R39                                                                                                                    
2   1R                   R-EU_R0805              R2, R8                                                                                                                                    
1   1u                   C-EUC0805               C3                                                                                                                                        
1   2K2 1%               R-EU_R0805              R21                                                                                                                                       
8   2N7002               2N7002                  Q4, Q6, Q7, Q8, Q10, Q11, Q12, Q13                                                                                                        
4   4K7                  R-EU_R0805              R1, R3, R7, R14                                                                                                                           
1   4V3                  ZENER-DIODEMINIMELF     ZD5                                                                                                                                       
2   10K                  R-EU_R0805              R12, R15                                                                                                                                  
1   10K                  R-EU_R1206              R41                                                                                                                                       
1   10R                  R-EU_R0805              R20                                                                                                                                       
6   10n                  C-EUC1206               C1, C5, C7, C10, C40, C41                                                                                                                 
3   10u                  C-EUC1206               C6, C35, C44                                                                                                                              
1   10u                  ECAPPANASONIC_C         C24                                                                                                                                       
2   18p                  C-EUC0805               C42, C43                                                                                                                                  
4   22-23-2021           22-23-2021              X5, X9, X11, X12                                                                                                                          
1   22-23-2041           22-23-2041              X6                                                                                                                                        
2   22u/63V              ECAPEEEFK+2.5MM         C4, C9                                                                                                                                    
1   25MHz                XTALSMD                 Y2                                                                                                                                        
1   32,768kHz            XTALR26                 Y1                                                                                                                                        
2   47n                  C-EUC0805               C46, C48                                                                                                                                  
1   47u                  ECAPPANASONIC_C         C19                                                                                                                                       
4   49R9                 R-EU_R0805              R16, R17, R18, R19                                                                                                                        
2   60R@100MHz           FERRITE_BEAD0603        FB, L1                                                                                                                                    
10  100K                 R-EU_R0805              R4, R6, R9, R10, R13, R22, R28, R31, R35, R36                                                                                             
1   100R                 R-EU_R0805              R40                                                                                                                                       
28  100n                 C-EUC0603               C11, C12, C13, C14, C15, C16, C17, C18, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C36, C38, C39, C45, C47, C49
1   120R 1%              R-EU_R0805              R23                                                                                                                                       
2   180R                 R-EU_R0805              R30, R38                                                                                                                                  
2   200R                 R-EU_R0805              R24, R25                                                                                                                                  
4   240R                 R-EU_R0805              R26, R27, R33, R34                                                                                                                        
2   470n/100V            C-EUC1812               C2, C8                                                                                                                                    
1   560R                 R-EU_R0805              R11                                                                                                                                       
1   1301.9316            TACT_SW                 SW1                                                                                                                                       
2   282836-4             TBLOCK5.0_4A            X1, X3                                                                                                                                    
2   826926-2             JP1E                    JP1, JP3                                                                                                                                  
1   826926-3             JUMPER_3-PIN            JP2                                                                                                                                       
2   09185106324          IDC-10PINGREY           X7, X8                                                                                                                                    
1   AT25256B             AT25XXXSOIC8            IC15                                                                                                                                      
6   BAS316               DIODE-SOD323-W          D1, D2, D3, D4, D5, D7                                                                                                                    
1   BAT54S               BAT54S                  D9                                                                                                                                        
2   BC857BS              BC857BS                 IC17, IC19                                                                                                                                
1   BS-244DSM-B          BINDING_POST-2          J2                                                                                                                                        
1   BS-244DSM-B          BINDING_POST-2          J5                                                                                                                                        
1   BS-244DSM-G          BINDING_POST-2          J4                                                                                                                                        
2   BS-244DSM-R          BINDING_POST-2          J1, J3                                                                                                                                    
1   EECS5R5H105          SUPER_CAP               C37                                                                                                                                       
1   ENC28J60-I/SS        ENC28J60-I/SS           IC16                                                                                                                                      
2   G6K-2F-5DC           G6K-2F                  K_S1, K_S2                                                                                                                                
2   HCPL-181             HCPL-181                OK1, OK2                                                                                                                                  
2   HSMF-C155            LED_KPB-3025            LED1, LED2                                                                                                                                
2   HSMG-C170            LEDCHIPLED_0805         LED_O2+, LED_O2-                                                                                                                          
1   HSMR-C170            LEDCHIPLED_0805         LED_PWR                                                                                                                                   
2   HSMY-C170            LEDCHIPLED_0805         LED_S1, LED_S2                                                                                                                            
5   IRLML2246TRPBF       IRLML2246TRPBF          Q1, Q2, Q3, Q5, Q9                                                                                                                        
1   L-934ID              LEDCHIPLED_0805         LED_CC2                                                                                                                                   
1   L-934ID              LEDCHIPLED_0805         LED_CC1                                                                                                                                   
2   L-934YD              LEDCHIPLED_0805         LED_CV1, LED_CV2                                                                                                                          
1   LD-BZEN-0903         BUZZER                  SG1                                                                                                                                       
1   LD1117ADT33TR        LD117ADT33TR            IC6                                                                                                                                       
1   LMJTAB881243M-L      RJ45-TRAFO-LED          X10                                                                                                                                       
2   MC000005             MC000005MIRROR          X2, X4                                                                                                                                    
2   NE555D               LM555SOIC8              IC18, IC20                                                                                                                                
4   P4SMAJ60A            PSMAXX                  ZD1, ZD2, ZD3, ZD4                                                                                                                        
1   PCA21125             PCA21125TSSOP-14        IC14                                                                                                                                      
2   RT424005             RELAY_RT314012-2        K_PAR, K_SER                                                                                                                              
2   SI8620EC-B-IS        SI8620                  IC11, IC12                                                                                                                                
1   SKL16                DIODE-DO214AC           D8                                                                                                                                        
1   SMBJ5.0A-TR          DIODEDO214AA            D6                                                                                                                                        
1   SN74LV1T34           SN74LV1T34              IC21                                                                                                                                      
1   SN74LV125APW         SN74LV125ATSSOP14       IC10                                                                                                                                      
6   SN74LVCC3245ADBRSSOP SN74LVCC3245ADBRSSOP    IC2, IC3, IC4, IC5, IC7, IC8                                                                                                              
2   Si8660EC-B-IS1       SI8660                  IC9, IC13                                                                                                                                 
1   TFT_320QVT           LCD_TFT_320QVTMIRROR    LCD1                                                                                                                                      
1   TLC5925              TLC5925IDBQR            IC1                                                                                                                                       
